10-digit PSGC,Name,Geographic Level
1380605080,Barangay 377,Bgy
1380605081,Barangay 378,Bgy
1380605082,Barangay 379,Bgy
1380605083,Barangay 380,Bgy
1380605084,Barangay 381,Bgy
1380605085,Barangay 382,Bgy
1380606000,Sampaloc,SubMun
1380606001,Barangay 395,Bgy
1380606002,Barangay 396,Bgy
1380606003,Barangay 397,Bgy
1380606004,Barangay 398,Bgy
1380606005,Barangay 399,Bgy
1380606006,Barangay 400,Bgy
1380606007,Barangay 401,Bgy
1380606008,Barangay 402,Bgy
1380606009,Barangay 403,Bgy
1380606010,Barangay 404,Bgy
1380606011,Barangay 405,Bgy
1380606012,Barangay 406,Bgy
1380606013,Barangay 407,Bgy
1380606014,Barangay 408,Bgy
1380606015,Barangay 409,Bgy
1380606016,Barangay 410,Bgy
1380606017,Barangay 411,Bgy
1380606018,Barangay 412,Bgy
1380606019,Barangay 413,Bgy
1380606020,Barangay 414,Bgy
1380606021,Barangay 415,Bgy
1380606022,Barangay 416,Bgy
1380606023,Barangay 417,Bgy
1380606024,Barangay 418,Bgy
1380606025,Barangay 419,Bgy
1380606026,Barangay 420,Bgy
1380606027,Barangay 421,Bgy
1380606028,Barangay 422,Bgy
1380606029,Barangay 423,Bgy
1380606030,Barangay 424,Bgy
1380606031,Barangay 425,Bgy
1380606032,Barangay 426,Bgy
1380606033,Barangay 427,Bgy
1380606034,Barangay 428,Bgy
1380606035,Barangay 429,Bgy
1380606036,Barangay 430,Bgy
1380606037,Barangay 431,Bgy
1380606038,Barangay 432,Bgy
1380606039,Barangay 433,Bgy
1380606040,Barangay 434,Bgy
1380606041,Barangay 435,Bgy
1380606042,Barangay 436,Bgy
1380606043,Barangay 437,Bgy
1380606044,Barangay 438,Bgy
1380606045,Barangay 439,Bgy
1380606046,Barangay 440,Bgy
1380606047,Barangay 441,Bgy
1380606048,Barangay 442,Bgy
1380606049,Barangay 443,Bgy
1380606050,Barangay 444,Bgy
1380606051,Barangay 445,Bgy
1380606052,Barangay 446,Bgy
1380606053,Barangay 447,Bgy
1380606054,Barangay 448,Bgy
1380606055,Barangay 449,Bgy
1380606056,Barangay 450,Bgy
1380606057,Barangay 451,Bgy
1380606058,Barangay 452,Bgy
1380606059,Barangay 453,Bgy
1380606060,Barangay 454,Bgy
1380606061,Barangay 455,Bgy
1380606062,Barangay 456,Bgy
1380606063,Barangay 457,Bgy
1380606064,Barangay 458,Bgy
1380606065,Barangay 459,Bgy
1380606066,Barangay 460,Bgy
1380606067,Barangay 461,Bgy
1380606068,Barangay 462,Bgy
1380606069,Barangay 463,Bgy
1380606070,Barangay 464,Bgy
1380606071,Barangay 465,Bgy
1380606072,Barangay 466,Bgy
1380606073,Barangay 467,Bgy
1380606074,Barangay 468,Bgy
1380606075,Barangay 469,Bgy
1380606076,Barangay 470,Bgy
1380606077,Barangay 471,Bgy
1380606078,Barangay 472,Bgy
1380606079,Barangay 473,Bgy
1380606080,Barangay 474,Bgy
1380606081,Barangay 475,Bgy
1380606082,Barangay 476,Bgy
1380606083,Barangay 477,Bgy
1380606084,Barangay 478,Bgy
1380606085,Barangay 479,Bgy
1380606086,Barangay 480,Bgy
1380606087,Barangay 481,Bgy
1380606088,Barangay 482,Bgy
1380606089,Barangay 483,Bgy
1380606090,Barangay 484,Bgy
1380606091,Barangay 485,Bgy
1380606092,Barangay 486,Bgy
1380606093,Barangay 487,Bgy
1380606094,Barangay 488,Bgy
1380606095,Barangay 489,Bgy
1380606096,Barangay 490,Bgy
1380606097,Barangay 491,Bgy
1380606098,Barangay 492,Bgy
1380606099,Barangay 493,Bgy
1380606100,Barangay 494,Bgy
1380606101,Barangay 495,Bgy
1380606102,Barangay 496,Bgy
1380606103,Barangay 497,Bgy
1380606104,Barangay 498,Bgy
1380606105,Barangay 499,Bgy
1380606106,Barangay 500,Bgy
1380606107,Barangay 501,Bgy
1380606108,Barangay 502,Bgy
1380606109,Barangay 503,Bgy
1380606110,Barangay 504,Bgy
1380606111,Barangay 505,Bgy
1380606112,Barangay 506,Bgy
1380606113,Barangay 507,Bgy
1380606114,Barangay 508,Bgy
1380606115,Barangay 509,Bgy
1380606116,Barangay 510,Bgy
1380606117,Barangay 511,Bgy
1380606118,Barangay 512,Bgy
1380606119,Barangay 513,Bgy
1380606120,Barangay 514,Bgy
1380606121,Barangay 515,Bgy
1380606122,Barangay 516,Bgy
1380606123,Barangay 517,Bgy
1380606124,Barangay 518,Bgy
1380606125,Barangay 519,Bgy
1380606126,Barangay 520,Bgy
1380606127,Barangay 521,Bgy
1380606128,Barangay 522,Bgy
1380606129,Barangay 523,Bgy
1380606130,Barangay 524,Bgy
1380606131,Barangay 525,Bgy
1380606132,Barangay 526,Bgy
1380606133,Barangay 527,Bgy
1380606134,Barangay 528,Bgy
